time,poa_global
2020-01-19-01:09:00,0.0
2020-01-19-02:09:00,0.0
2020-01-19-03:09:00,0.0
2020-01-19-04:09:00,0.0
2020-01-19-05:09:00,0.0
2020-01-19-06:09:00,89.07
2020-01-19-07:09:00,291.46000000000004
2020-01-19-08:09:00,317.84000000000003
2020-01-19-09:09:00,409.15
2020-01-19-10:09:00,608.11
2020-01-19-11:09:00,582.35
2020-01-19-12:09:00,449.75
2020-01-19-13:09:00,62.43
2020-01-19-14:09:00,190.06
2020-01-19-15:09:00,9.46
2020-01-19-16:09:00,0.0
2020-01-19-17:09:00,0.0
2020-01-19-18:09:00,0.0
2020-01-19-19:09:00,0.0
2020-01-19-20:09:00,0.0
2020-01-19-21:09:00,0.0
2020-01-19-22:09:00,0.0
2020-01-19-23:09:00,0.0
2020-01-20-00:09:00,0.0
2020-01-20-01:09:00,0.0
2020-01-20-02:09:00,0.0
2020-01-20-03:09:00,0.0
2020-01-20-04:09:00,0.0
2020-01-20-05:09:00,0.0
2020-01-20-06:09:00,38.379999999999995
2020-01-20-07:09:00,85.35
2020-01-20-08:09:00,126.96
2020-01-20-09:09:00,126.77
2020-01-20-10:09:00,124.86999999999999
2020-01-20-11:09:00,239.16000000000003
2020-01-20-12:09:00,306.88
2020-01-20-13:09:00,386.44
2020-01-20-14:09:00,30.27
2020-01-20-15:09:00,4.73
2020-01-20-16:09:00,0.0
2020-01-20-17:09:00,0.0
2020-01-20-18:09:00,0.0
2020-01-20-19:09:00,0.0
2020-01-20-20:09:00,0.0
2020-01-20-21:09:00,0.0
2020-01-20-22:09:00,0.0
2020-01-20-23:09:00,0.0
2020-01-21-00:09:00,0.0
2020-01-21-01:09:00,0.0
2020-01-21-02:09:00,0.0
2020-01-21-03:09:00,0.0
2020-01-21-04:09:00,0.0
2020-01-21-05:09:00,0.0
2020-01-21-06:09:00,28.77
2020-01-21-07:09:00,205.34
2020-01-21-08:09:00,243.26
2020-01-21-09:09:00,329.81
2020-01-21-10:09:00,268.03000000000003
2020-01-21-11:09:00,182.59
2020-01-21-12:09:00,166.63000000000002
2020-01-21-13:09:00,476.94000000000005
2020-01-21-14:09:00,408.44
2020-01-21-15:09:00,20.12
2020-01-21-16:09:00,0.0
2020-01-21-17:09:00,0.0
2020-01-21-18:09:00,0.0
2020-01-21-19:09:00,0.0
2020-01-21-20:09:00,0.0
2020-01-21-21:09:00,0.0
2020-01-21-22:09:00,0.0
2020-01-21-23:09:00,0.0
2020-01-22-00:09:00,0.0
2020-01-22-01:09:00,0.0
2020-01-22-02:09:00,0.0
2020-01-22-03:09:00,0.0
2020-01-22-04:09:00,0.0
2020-01-22-05:09:00,0.0
2020-01-22-06:09:00,159.26
2020-01-22-07:09:00,463.39
2020-01-22-08:09:00,662.14
